,GEOID,new_district
605,1400000US05119004222,2.0
606,1400000US05119004223,2.0
607,1400000US05119004224,2.0
608,1400000US05119004225,2.0
609,1400000US05119004226,2.0
610,1400000US05119004227,2.0
611,1400000US05119004228,2.0
612,1400000US05119004229,2.0
613,1400000US05119004302,2.0
614,1400000US05119004306,2.0
615,1400000US05119004307,2.0
616,1400000US05119004308,2.0
617,1400000US05119004309,2.0
618,1400000US05119004310,2.0
619,1400000US05119004311,2.0
620,1400000US05119004400,2.0
621,1400000US05119004500,2.0
622,1400000US05119004600,2.0
623,1400000US05119004700,2.0
624,1400000US05119004801,2.0
625,1400000US05119004901,2.0
626,1400000US05119004902,2.0
627,1400000US05119980100,2.0
628,1400000US05119980200,2.0
629,1400000US05119980300,2.0
630,1400000US05119980400,2.0
631,1400000US05121960100,1.0
632,1400000US05121960201,1.0
633,1400000US05121960202,1.0
634,1400000US05121960301,1.0
635,1400000US05121960302,1.0
636,1400000US05123960100,4.0
637,1400000US05123960201,4.0
638,1400000US05123960202,4.0
639,1400000US05123960300,4.0
640,1400000US05123960400,4.0
641,1400000US05123960500,4.0
642,1400000US05123960600,4.0
643,1400000US05125010101,2.0
644,1400000US05125010104,2.0
645,1400000US05125010105,2.0
646,1400000US05125010106,2.0
647,1400000US05125010107,2.0
648,1400000US05125010301,2.0
649,1400000US05125010302,2.0
650,1400000US05125010303,2.0
651,1400000US05125010405,2.0
652,1400000US05125010406,2.0
653,1400000US05125010407,2.0
654,1400000US05125010408,2.0
655,1400000US05125010409,2.0
656,1400000US05125010410,2.0
657,1400000US05125010411,2.0
658,1400000US05125010507,2.0
659,1400000US05125010508,2.0
660,1400000US05125010509,2.0
661,1400000US05125010511,2.0
662,1400000US05125010512,2.0
663,1400000US05125010513,2.0
664,1400000US05125010514,2.0
665,1400000US05125010515,2.0
666,1400000US05125010516,2.0
667,1400000US05125010517,2.0
668,1400000US05125010518,2.0
669,1400000US05125010519,2.0
670,1400000US05125010520,2.0
671,1400000US05125010601,2.0
672,1400000US05125010602,2.0
673,1400000US05127950100,4.0
674,1400000US05127950200,4.0
675,1400000US05127950300,4.0
676,1400000US05129970100,1.0
677,1400000US05129970200,1.0
678,1400000US05129970300,1.0
679,1400000US05131000100,3.0
680,1400000US05131000200,3.0
681,1400000US05131000300,3.0
682,1400000US05131000400,3.0
683,1400000US05131000501,3.0
684,1400000US05131000502,3.0
685,1400000US05131000600,3.0
686,1400000US05131000700,3.0
